"scheme_id","scheme_name","category","level","state_ut","question","answer"
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","What is Post-Matric Scholarship for Scheduled Caste Students (PMS-SC)?","Post-Matric Scholarship for Scheduled Caste Students is a SC scheme of Ministry of Social Justice and Empowerment (Department of Social Justice & Empowerment), implemented at the central level in All India (all States/UTs). Type: Centrally Sponsored Scheme. Launched: 1944 (pre-independence scheme, revised many times). Status: Active. It aims to help Scheduled Caste students studying after Class 10 (Class 11 to PhD, including professional, technical and vocational courses). Benefit: Reimbursement of all compulsory non-refundable fees (tuition, admission, exam, etc.) charged by the institution plus a monthly maintenance allowance. Also covers study tour charges (up to Rs 1,600 p.a.), thesis typing/printing (up to Rs 1,600 for PhD), book grant, and coaching for competitive exams for courses of less than one year; paid by DBT into Aadhaar-linked bank account"
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","Who is eligible for Post-Matric Scholarship for Scheduled Caste Students?","Target group: Scheduled Caste students studying after Class 10 (Class 11 to PhD, including professional, technical and vocational courses). Beneficiary type: Student. Age: No specific age limit. Income limit: Family annual income up to Rs 2,50,000 from all sources. Other conditions: Student must belong to a Scheduled Caste; must be enrolled in a recognised post-matriculation course (Class 11/12, ITI, polytechnic, diploma, UG, PG, professional degree) in a government-recognised institution in India; scholarship is payable only for the prescribed duration of the course; student must not hold any other centrally funded scholarship for the same period Not eligible: Students who fail to promote to the next class lose the scholarship; only two members of a family can get this (and other such) scholarships simultaneously; distance/correspondence courses allowed only if the institution is recognised and there is no regular course available; income certificate and caste certificate from competent authority are mandatory"
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","What benefits/amount does Post-Matric Scholarship for Scheduled Caste Students give?","Reimbursement of all compulsory non-refundable fees (tuition, admission, exam, etc.) charged by the institution plus a monthly maintenance allowance. Also covers study tour charges (up to Rs 1,600 p.a.), thesis typing/printing (up to Rs 1,600 for PhD), book grant, and coaching for competitive exams for courses of less than one year; paid by DBT into Aadhaar-linked bank account Headline value: Maintenance allowance (per month): Group-1 courses (Medicine/Engineering/Agriculture degree, MBA/MCA/LLB) hosteller Rs 1,200 (day scholar Rs 550); Group-2 (Pharmacy, Nursing, B.Ed., Mass Comm., etc.) hosteller Rs 820 (day scholar Rs 530); Group-3 (BA/BSc/BCom general, BBA, BCA) hosteller Rs 570 (day scholar Rs 300); Group-4 (Class 11-12, ITI, polytechnic, vocational) hosteller Rs 380 (day scholar Rs 230). Full compulsory fees paid Funding pattern: Centrally Sponsored - 60:40 Centre:State for most States; 90:10 for North-Eastern and Himalayan States (100% central for UTs without legislature)."
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","How do I apply for Post-Matric Scholarship for Scheduled Caste Students?","Application mode: Online only through the National Scholarship Portal (state schemes may also run on state portals). Portal: National Scholarship Portal - scholarships.gov.in. Documents needed: Caste certificate from competent authority; income certificate (family income up to Rs 2.5 lakh); Class 10/previous exam marksheet; Aadhaar; Aadhaar-seeded bank account in student's name; admission/fee receipt; bonafide certificate; institute verification; passport-size photo. Helpline: NSP helpline 0120-6619540 (helpdesk@nsp.gov.in); State social welfare/welfare department helplines."
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","What happened to Post-Matric Scholarship for Scheduled Caste Students - is it still running?","Status: Active. Earlier scheme(s): Pre-independence post-matric scholarship for Scheduled Castes; guidelines revised 2016, 2019 and 2024. Now replaced/continued by: Not specified. Active period: Continuous; major revivals FY 2016-17, 2017-18, 2019-20 and 2024-25 onward. Income ceiling raised from Rs 1 lakh to Rs 2.5 lakh (2019); maintenance rates revised upward; Aadhaar payment-bridge mandatory; Ministry has pressed States to clear arrears of scholarship dues to institutions since 2024-25"
"SC-CEN-001","Post-Matric Scholarship for Scheduled Caste Students","SC","Central","All India (all States/UTs)","What are the latest changes in Post-Matric Scholarship for Scheduled Caste Students?","Income ceiling raised from Rs 1 lakh to Rs 2.5 lakh (2019); maintenance rates revised upward; Aadhaar payment-bridge mandatory; Ministry has pressed States to clear arrears of scholarship dues to institutions since 2024-25 (Last verified: 2026-09-23, confidence: High.)"
"SC-CEN-002","Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X","SC","Central","All India (all States/UTs)","What is Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X (Pre-Matric SC (IX-X))?","Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X is a SC scheme of Ministry of Social Justice and Empowerment, implemented at the central level in All India (all States/UTs). Type: Centrally Sponsored Scheme. Launched: Post-independence central scheme; current design from 2012-13, rates revised in 2019-20. Status: Active. It aims to help SC students studying in Class IX and X. Benefit: Monthly scholarship to reduce drop-out between upper primary and secondary stage and to help SC students reach the post-matric stage, credited by DBT"
"SC-CEN-002","Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X","SC","Central","All India (all States/UTs)","Who is eligible for Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X?","Target group: SC students studying in Class IX and X. Beneficiary type: Student. Age: Not specified in the scheme guidelines. Income limit: Parental/guardian annual income up to Rs 2,50,000. Other conditions: SC student studying in government, government-aided or recognised private school in Class 9 or 10; must appear for the prescribed annual examination; attendance and promotion norms apply Not eligible: Not for students in other classes; can be combined with other scholarships subject to ceiling rules; requires income certificate"
"SC-CEN-002","Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X","SC","Central","All India (all States/UTs)","What benefits/amount does Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X give?","Monthly scholarship to reduce drop-out between upper primary and secondary stage and to help SC students reach the post-matric stage, credited by DBT Headline value: Day scholars Rs 225 per month and hostellers Rs 525 per month (for 10 months in a year) as per revised central norms; some States top up the amount Funding pattern: Centrally Sponsored - 60:40 (90:10 for NE and Himalayan States)."
"SC-CEN-002","Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X","SC","Central","All India (all States/UTs)","How do I apply for Pre-Matric Scholarship for Scheduled Caste Students studying in Classes IX and X?","Application mode: Online through National Scholarship Portal; school verification compulsory. Portal: scholarships.gov.in. Documents needed: Caste certificate; income certificate; Aadhaar; bank account of student; admission proof; class promotion certificate; photo. Helpline: NSP helpline 0120-6619540."
